strategy,size_bytes,malloc_ns,free_ns
first_fit,1,26.00,28.00
first_fit,2,26.00,24.00
first_fit,4,28.00,28.00
first_fit,8,32.00,28.00
first_fit,16,30.00,26.00
first_fit,32,28.00,28.00
first_fit,64,28.00,26.00
first_fit,128,26.00,24.00
first_fit,256,32.00,28.00
first_fit,512,28.00,28.00
first_fit,1024,36.00,22.00
first_fit,2048,24.00,22.00
first_fit,4096,32.00,26.00
first_fit,8192,34.00,24.00
first_fit,16384,38.00,30.00
first_fit,32768,40.00,26.00
first_fit,65536,24.00,34.00
first_fit,131072,40.00,22.00
first_fit,262144,38.00,24.00
first_fit,524288,32.00,20.00
first_fit,1048576,36.00,26.00
first_fit,2097152,44.00,14.00
first_fit,4194304,48.00,26.00
first_fit,8388608,68.00,24.00
best_fit,1,36.00,34.00
best_fit,2,36.00,36.00
best_fit,4,34.00,36.00
best_fit,8,32.00,42.00
best_fit,16,38.00,36.00
best_fit,32,36.00,38.00
best_fit,64,36.00,36.00
best_fit,128,38.00,36.00
best_fit,256,36.00,40.00
best_fit,512,32.00,40.00
best_fit,1024,36.00,38.00
best_fit,2048,44.00,44.00
best_fit,4096,50.00,44.00
best_fit,8192,66.00,36.00
best_fit,16384,62.00,50.00
best_fit,32768,62.00,24.00
best_fit,65536,28.00,34.00
best_fit,131072,54.00,42.00
best_fit,262144,50.00,36.00
best_fit,524288,76.00,66.00
best_fit,1048576,26.00,20.00
best_fit,2097152,92.00,82.00
best_fit,4194304,132.00,62.00
best_fit,8388608,126.00,70.00
worst_fit,1,40.00,34.00
worst_fit,2,32.00,38.00
worst_fit,4,40.00,36.00
worst_fit,8,36.00,38.00
worst_fit,16,34.00,38.00
worst_fit,32,38.00,30.00
worst_fit,64,34.00,40.00
worst_fit,128,36.00,30.00
worst_fit,256,36.00,42.00
worst_fit,512,40.00,36.00
worst_fit,1024,40.00,40.00
worst_fit,2048,32.00,38.00
worst_fit,4096,30.00,38.00
worst_fit,8192,48.00,34.00
worst_fit,16384,56.00,58.00
worst_fit,32768,50.00,52.00
worst_fit,65536,30.00,26.00
worst_fit,131072,48.00,36.00
worst_fit,262144,54.00,48.00
worst_fit,524288,40.00,42.00
worst_fit,1048576,56.00,44.00
worst_fit,2097152,92.00,64.00
worst_fit,4194304,94.00,60.00
worst_fit,8388608,140.00,58.00
